命令,别名,功能说明,命令行,参数
ali,,阿里公有云搜索,"open(format(https://www.alibabacloud.com/zh/search?_p_lc=1&k={},base64({%p})))",
arch,,谷歌架构图搜索,gi architecture of {%p},搜索关键词
aws,,Amazon公有云搜索,https://aws.amazon.com/search/?searchQuery={%p},搜索关键词
awsz,,Amazon公有云搜索-中文,https://www.amazonaws.cn/search/?searchQuery={%p},搜索关键词
az,,Azure公有云搜索,https://azure.microsoft.com/en-us/search/?q={%p},搜索关键词
azz,,Azure公有云搜索-中文,https://azure.microsoft.com/cn-zh/search/?q={%p},搜索关键词
clue,,EI-Oversea-PE.xmind,D:\Onebox\Workspace\6=Archives\EI\EI-Oversea-PE.xmind,无
coa,,COA编码搜索,https://pbi.huawei.com/pbiops/offering-coa/detail/offering-coa-information/?entityNo={%p},搜索关键词
daily,,daily回顾,edit(%WORKSPACE_HOME%\9=AList\daily-retrospect.md),无
ei,,EI-links.md,%WORKSPACE_HOME%\6=Archives\EI\EI-links.md,无
eid,,EI工作目录,D:\Onebox\Workspace\6=Archives\EI,无
eim,,EI资料,open(D:\Onebox\Workspace\6=Archives\EI\EI-materials.md),无
hc,,华为公有云搜索,"open(format(https://www.huaweicloud.com/s/{},RegExReplace(base64(%{%p}%),=+$)))",
hr,,iHR信息搜索,http://hr.huawei.com/main/#/SearchEmp?searchStr={%p},无
hwfy,fy,华为翻译,"send(^c);open(https://translate.huawei.com);sendif(Huawei Translate,^v,2000)",无
is,,isales合同搜索,http://isales.huawei.com/isales/aisearch/#/UI-contractSearch?searchText={%p}&fromlocale,搜索关键词
isc,,isc合同搜索,https://isc.huawei.com/iscp/app/#/pas/ProductAmountSplitContractDetail?isSubModule=1&contractNumber={%p},搜索关键词
mail,,outlook邮件搜索,%MyLinks%\work-x1\mail-cmd.ahk {%p},搜索关键词
notesbak,,笔记归档,preview(D:\Onebox\Archives\MyNotes\notes-archives-20230707-all.csv),无
pipe,,SA项目管道搜索,"show(title:pipeline-data-2024.xlsx);delayif(300,title:pipeline-data-2024.xlsx,send,^f,100,cbkeyword);callback(cbkeyword,send,^a{%p}{enter})",无
sa,,SA团队空间,https://onebox.huawei.com/#teamspaceFile/1/0/10211249,无
sac,,SA团队空间-core,https://onebox.huawei.com/#teamspaceFile/1/0/11440365,无
saprj,,SA项目管道,https://onebox.huawei.com/v/2cfd3bdeda21d3ed4a71595f01e44b40?type=0,无
setw,,打开修改配置-work,edit(%A_ScriptDir%\xfold-p2-work.ini),无
summary,sum,总结目录,D:\Onebox\Workspace\6=Archives\EI\06 Summary,无
team,,EI团队阵型.xlsx,D:\Onebox\Workspace\6=Archives\EI\EI团队阵型.xlsx,无
term,sy,华为述语搜索,http://3ms.huawei.com/term/#/main/termSearch?searchValue={%p},搜索关键词
thinking,,工作梳理思考,ashow D:\Workspace\6=Archive\EI\工作梳理思考-2024.xmind,无
track,,项目跟踪,D:\Workspace\6=Archive\EI\2024海外数据项目跟踪.xlsx,无
w3,"w,3",w3信息搜索,http://w3.huawei.com/unisearch/index.html?keyword={%p},搜索关键词
webui,,谷歌用户界面设计搜索,gi Web User Interface of {%p},搜索关键词
welink,"m,msg",welink发送消息,"send({raw}{%p},300);send(^!d)",搜索关键词
wtodo,wt,work-todo.xlsx,D:\Onebox\Workspace\6=Archives\EI\work-todo.xlsx,无
xinsh,,心声社区搜索,https://xinsheng.huawei.com/next/plus/#/search?keyword={%p}&type=all,搜索关键词
